i	Clean	Noise	Filtered
166	-264.402008	-222.202011	-234.565308
167	-275.689850	-339.489838	-255.058075
168	-285.901123	-302.901123	-271.410339
169	-294.995972	-278.595978	-287.134125
170	-302.938843	-346.538849	-297.945557
171	-309.698761	-331.698761	-319.844910
172	-315.249298	-376.249298	-327.196808
173	-319.568817	-357.568817	-338.130310
174	-322.640411	-335.240417	-349.459198
175	-324.452118	-361.452118	-352.441864
176	-324.996826	-283.996826	-342.901489
177	-324.272430	-318.872437	-331.426117
178	-322.281769	-303.081757	-320.528717
179	-319.032593	-267.432587	-306.967133
180	-314.537598	-362.537598	-307.184265
181	-308.814362	-245.014359	-299.387756
182	-301.885193	-335.485199	-302.710297
183	-293.777161	-308.977173	-303.889404
184	-284.521942	-341.721954	-318.747253
185	-274.155701	-209.955688	-288.230896
186	-262.718872	-258.718872	-290.971771
187	-250.256104	-215.456100	-266.965973
188	-236.816116	-282.216125	-261.613739
189	-222.451370	-233.651367	-239.999634
190	-207.217941	-238.017944	-245.612091
191	-191.175339	-183.975342	-230.663376
192	-174.386200	-111.586197	-209.889404
193	-156.916092	-137.916092	-181.029388
194	-138.833221	-138.633224	-162.025757
195	-120.208206	-77.208206	-129.863800
196	-101.113792	-42.913792	-101.651505
197	-81.624527	-92.424530	-97.819168
198	-61.816517	-49.416515	-80.119247
199	-41.767117	16.632885	-49.066032
200	-21.554617	-49.154617	-43.455315
201	-1.257946	1.542053	-34.564144
202	19.043636	2.443636	-15.590512
203	39.270855	12.470854	-3.213038
204	59.344719	77.544724	8.969330
205	79.186844	82.386841	35.277622
206	98.719749	100.119751	54.993164
207	117.867149	136.067154	81.717865
208	136.554291	108.954292	101.014549
209	154.708176	170.508179	119.607239
210	172.257950	156.257950	134.381454
211	189.135040	175.735046	149.504517
212	205.273575	201.873581	162.665802
213	220.610519	179.610519	176.797043
214	235.085968	251.885971	193.072601
215	248.643433	274.843445	216.789719
216	261.229950	247.629944	231.168701
217	272.796356	318.196350	254.433228
218	283.297485	279.097473	274.330627
219	292.692383	239.492386	271.851898
220	300.944305	300.944305	277.072083
221	308.021027	296.221039	286.790283
222	313.894958	332.894958	289.730042
223	318.543121	259.143127	285.739197
224	321.947388	296.147400	297.070160
225	324.094452	269.094452	290.700195
226	324.975952	282.775940	288.011169
227	324.588409	275.388397	276.509857
228	322.933350	346.933350	294.067932
229	320.017273	273.017273	289.441895
230	315.851501	281.051514	291.833313
231	310.452362	330.252350	301.328552
232	303.840881	257.640869	297.779053
233	296.042938	233.642944	275.121002
234	287.088959	336.088959	287.735321
235	277.013885	228.813889	277.287781
236	265.857086	221.657089	255.568756
237	253.662109	304.062103	264.852997
238	240.476593	251.076599	268.339722
239	226.352020	184.752014	238.072342
240	211.343552	229.143555	238.138275
241	195.509781	197.309784	233.268799
242	178.912567	205.912567	213.638916
243	161.616684	212.416687	205.906937
244	143.689697	132.889694	195.534470
245	125.201614	114.201614	172.546066
246	106.224617	167.424622	166.569046
247	86.832817	128.432816	151.073090
248	67.101929	52.701927	119.130142
249	47.109016	22.709017	97.093994
250	26.932142	91.332146	92.520103
251	6.650098	26.450100	64.325195
252	-13.657914	-57.057915	27.227057
253	-33.912594	-17.912594	13.104152
254	-54.034843	-14.834843	5.595379
255	-73.946091	-17.746090	-16.220266
256	-93.568581	-31.768581	-27.864008
257	-112.825684	-73.425682	-31.137558
258	-131.642212	-99.042206	-47.363483
259	-149.944672	-165.344666	-77.465446
260	-167.661606	-148.861603	-103.688553
261	-184.723816	-188.523819	-135.039597
262	-201.064697	-233.464691	-167.047394
263	-216.620407	-158.620407	-178.963028
264	-231.330231	-236.130234	-193.120148
265	-245.136719	-301.536713	-223.655182
266	-257.985962	-270.785950	-240.107590
267	-269.827759	-219.827759	-237.380203
268	-280.615875	-272.615875	-260.179321
269	-290.308197	-243.108200	-261.574890
270	-298.866882	-309.266876	-263.120941
271	-306.258514	-349.058502	-278.775452
272	-312.454193	-344.854187	-303.780701
273	-317.429749	-266.429749	-302.543488
274	-321.165741	-341.965729	-322.315002
275	-323.647583	-356.447571	-331.751160
276	-324.865601	-276.865601	-317.312592
277	-324.815033	-299.415039	-308.224762
278	-323.496063	-342.296051	-323.397980
279	-320.913818	-376.113831	-330.227631
280	-317.078461	-312.478455	-321.433777
281	-312.004883	-317.404877	-329.541656
282	-305.712952	-352.512939	-340.161224
283	-298.227203	-286.827209	-329.067444
284	-289.576904	-231.176910	-300.080078
285	-279.795807	-303.395813	-298.263550
286	-268.922089	-278.122101	-290.406982
287	-256.998260	-211.398254	-262.184021
288	-244.070862	-265.070862	-257.832794
289	-230.190353	-261.590363	-263.915466
290	-215.410965	-279.210968	-259.078522
291	-199.790405	-192.190399	-241.892166
292	-183.389664	-185.989670	-236.810455
293	-166.272797	-143.072800	-212.410843
294	-148.506638	-105.306641	-181.154099
295	-130.160553	-113.760551	-148.064011
296	-111.306198	-126.306198	-134.887177
297	-92.017197	-35.617195	-104.812683
298	-72.368874	-104.368874	-97.071892
299	-52.437946	-86.637947	-93.338158
300	-32.302254	22.097748	-66.166489
301	-12.040419	24.759581	-35.953339
302	8.268434	47.668434	-19.296211
303	28.544996	69.945000	15.566564
304	48.710094	48.310093	42.556171
305	68.684975	79.284973	53.993614
306	88.391647	61.791649	61.400032
307	107.753151	49.353149	61.736977
308	126.693878	149.893875	77.726746
309	145.139877	189.939880	106.052711
310	163.019104	222.419098	134.679535
311	180.261734	115.861732	145.493546
312	196.800461	252.800461	186.183014
313	212.570679	149.970673	186.198380
314	227.510818	180.510818	184.312576
315	241.562515	250.562515	189.941254
316	254.670929	273.870941	221.543060
317	266.784851	327.584839	236.499969
318	277.856995	313.057007	269.117249
319	287.844116	326.044128	298.223877
320	296.707214	266.907227	301.492859
321	304.411652	283.611664	303.440979
322	310.927399	273.527405	292.629456
323	316.228973	358.428986	301.703918
324	320.295654	315.695648	299.634186
325	323.111603	267.511597	299.755066
326	324.665833	360.265839	315.085876
327	324.952209	383.752197	337.130859
328	323.969696	344.369690	334.319000
329	321.722046	290.722046	329.324280
330	318.218109	362.018097	348.225586
331	313.471527	331.871521	342.546722
332	307.500854	266.700867	319.136414
333	300.329376	328.729370	316.008362
334	291.985138	235.785141	305.020996
335	282.500671	289.900665	290.597504
336	271.913086	210.713089	266.365814
337	260.263672	226.863678	258.398376
338	247.597931	211.397934	234.932098
339	233.965317	295.365326	246.848145
340	219.419083	164.019073	221.671829
341	204.016022	260.216034	231.572418
342	187.816284	164.016281	219.002930
343	170.883133	222.883133	221.299973
344	153.282669	92.882668	180.803436
345	135.083664	118.683662	171.736359
346	116.357140	173.957138	154.484589
347	97.176254	98.576256	141.396576
348	77.615891	111.815887	119.183128
349	57.752441	119.352448	124.477074
350	37.663471	84.263474	117.593040
351	17.427423	34.627426	89.727097
352	-2.876676	-60.076675	57.996510
353	-23.169542	32.630455	42.159424
354	-43.371933	-55.371933	7.214549
355	-63.404957	-96.004959	-28.839138
356	-83.190384	-44.990383	-44.762699
357	-102.650955	-96.650955	-52.077557
358	-121.710678	-158.110687	-90.225784
359	-140.295120	-180.095123	-115.170425
360	-158.331711	-172.131714	-130.395767
361	-175.750031	-166.350037	-154.667709
362	-192.482040	-161.282043	-167.593918
363	-208.462418	-266.462402	-189.264252
364	-223.628754	-248.028748	-202.850983
365	-237.921814	-272.721802	-222.968994
366	-251.285812	-217.085815	-233.116165
367	-263.668518	-207.268524	-242.313477
368	-275.021637	-289.021637	-246.825287
369	-285.300781	-253.900787	-247.999710
370	-294.465851	-308.465851	-255.148529
371	-302.481018	-280.281006	-267.787537
372	-309.315002	-268.114990	-279.956848
373	-314.941132	-295.541138	-281.260742
374	-319.337402	-358.937408	-302.268066
375	-322.486694	-306.886688	-301.952240
376	-324.376648	-311.976654	-308.291382
377	-324.999939	-384.399933	-331.548370
378	-324.354126	-280.354126	-328.510956
379	-322.441711	-337.441711	-324.211853
380	-319.270142	-283.670135	-319.568512
381	-314.851868	-367.451874	-330.663544
382	-309.204071	-339.804077	-321.744415
383	-302.348846	-244.548843	-314.583344
384	-294.312958	-340.112946	-315.117584
385	-285.127808	-323.727814	-323.129089
386	-274.829224	-316.429230	-312.924591
387	-263.457428	-245.657425	-294.095245
388	-251.056824	-237.256821	-292.636841
389	-237.675873	-246.275879	-273.869446
390	-223.366791	-226.166794	-254.357224
391	-208.185471	-254.785477	-242.028488
392	-192.191193	-249.391190	-242.775223
393	-175.446411	-173.246414	-229.973145
394	-158.016525	-151.016525	-210.921265
395	-139.969574	-203.169571	-206.321823
396	-121.376045	-105.776047	-176.519943
397	-102.308548	-83.508545	-143.343414
398	-82.841537	-74.241539	-123.542442
399	-63.051037	-91.251038	-111.589340
400	-43.014320	-106.014320	-92.158302
401	-22.809631	-61.409634	-83.285019
402	-2.515874	-61.115875	-78.806480
403	17.787708	75.787704	-48.800632
404	38.021832	61.421829	-18.266058
405	58.107475	109.907471	24.918299
406	77.966217	132.966217	63.793476
407	97.520500	100.120499	96.040749
408	116.693962	180.893967	117.061996
409	135.411743	147.811737	134.339966
410	153.600739	143.600739	141.078644
411	171.189941	166.589935	147.803375
412	188.110641	132.510635	154.281403
413	204.296768	171.296768	152.361969
414	219.685120	206.885117	164.176636
415	234.215607	259.215607	187.299606
416	247.831497	288.631500	211.707932
417	260.479614	220.679611	229.341721
418	272.110535	270.710541	249.224457
419	282.678894	253.078888	258.463226
420	292.143402	228.343399	252.288788
421	300.467072	267.267059	248.015900
422	307.617462	333.817474	270.643494
423	313.566589	323.966583	281.294678
424	318.291229	331.891235	297.057159
425	321.772980	372.172974	325.823059
426	323.998199	292.998199	330.969299
427	324.958191	300.158203	324.237427
428	324.649261	342.249268	327.893982
429	323.072571	264.472565	314.410217
430	320.234283	338.234283	307.622498
431	316.145508	255.145508	300.051941
432	310.822174	329.422180	305.904755
433	304.285095	313.685089	300.191925
434	296.559784	280.359772	303.369354
435	287.676422	245.476425	284.817780
436	277.669678	237.469681	281.282623
437	266.578644	229.578644	261.313904
438	254.446625	252.046631	248.986237
439	241.320984	252.120987	243.338455
440	227.253006	200.253006	234.293793
441	212.297607	186.897614	224.179367
442	196.513199	145.313202	207.326263
443	179.961395	230.361389	202.989227
444	162.706863	147.906860	182.146393
445	144.816956	173.816956	176.859207
446	126.361534	112.161537	161.911987
447	107.412682	48.812679	142.611893
448	88.044380	60.844379	108.708481
449	68.332268	41.532265	87.433563
450	48.353325	89.753326	70.620834
451	28.185560	-2.614441	47.665642
452	7.907731	-36.892269	30.524652
453	-12.400977	17.799023	21.915581
454	-32.661259	-85.461258	-3.483124
455	-52.794003	-45.594002	-30.552591
456	-72.720581	-62.520580	-42.533817
457	-92.363190	-57.963188	-46.747997
458	-111.645126	-94.645126	-69.236832
459	-130.491089	-166.891083	-85.522789
460	-148.827484	-167.227478	-109.849487
461	-166.582718	-145.182724	-126.381920
462	-183.687439	-162.687439	-147.326782
463	-200.074875	-163.074875	-161.012726
464	-215.681015	-195.281021	-166.690704
465	-230.444931	-229.644928	-179.174210
466	-244.308960	-236.308960	-197.399445
467	-257.218964	-315.218964	-227.905731
468	-269.124542	-284.724548	-252.235672
469	-279.979187	-252.979187	-263.775330
470	-289.740540	-337.340546	-285.314423
471	-298.370422	-286.970428	-295.446716
472	-305.835205	-358.435211	-304.089996
473	-312.105713	-296.905701	-306.526215
474	-317.157440	-286.957428	-313.321869
475	-320.970673	-309.970673	-307.847900
476	-323.530518	-290.530518	-308.559875
477	-324.826996	-296.027008	-296.078278
478	-324.855042	-385.455048	-313.788147
479	-323.614502	-311.214508	-318.639557
480	-321.110291	-371.510284	-330.947449
481	-317.352112	-311.952118	-335.231781
482	-312.354706	-371.754700	-350.377319
483	-306.137573	-370.937561	-347.473816
484	-298.724945	-311.324951	-347.495911
485	-290.145813	-301.945801	-333.583038
486	-280.433685	-282.033691	-327.599304
487	-269.626465	-313.826477	-316.013672
488	-257.766357	-229.366364	-287.699463
489	-244.899673	-196.299667	-264.694397
490	-231.076660	-289.676666	-262.240570
491	-216.351303	-228.551300	-251.544098
492	-200.781097	-168.381104	-222.455032
493	-184.426834	-145.826828	-205.747116
494	-167.352402	-169.752396	-200.437653
495	-149.624466	-190.624466	-180.627228
496	-131.312241	-80.712234	-151.059418
497	-112.487236	-92.087234	-135.800629
498	-93.222984	-134.022980	-133.439850
499	-73.594696	-18.794697	-103.248314
500	-53.679020	-94.879021	-84.099228
501	-33.553730	-92.153732	-86.387527
502	-13.297411	-48.697411	-77.709572
503	7.010832	-17.789169	-54.462811
504	27.291698	9.691698	-48.765526
505	47.465992	60.865993	-17.616524
506	67.454933	25.054932	5.825209
507	87.180458	66.580460	28.880783
508	106.565552	75.365555	47.511726
509	125.534508	109.334503	67.440292
510	144.013245	176.013245	90.469742
511	161.929626	146.729630	114.804672
