i	Clean	Noise	Filtered
362	-192.482040	-161.282043	-166.350037
363	-208.462418	-266.462402	-172.131714
364	-223.628754	-248.028748	-172.131714
365	-237.921814	-272.721802	-248.028748
366	-251.285812	-217.085815	-248.028748
367	-263.668518	-207.268524	-248.028748
368	-275.021637	-289.021637	-248.028748
369	-285.300781	-253.900787	-253.900787
370	-294.465851	-308.465851	-253.900787
371	-302.481018	-280.281006	-280.281006
372	-309.315002	-268.114990	-280.281006
373	-314.941132	-295.541138	-280.281006
374	-319.337402	-358.937408	-295.541138
375	-322.486694	-306.886688	-295.541138
376	-324.376648	-311.976654	-306.886688
377	-324.999939	-384.399933	-311.976654
378	-324.354126	-280.354126	-311.976654
379	-322.441711	-337.441711	-311.976654
380	-319.270142	-283.670135	-311.976654
381	-314.851868	-367.451874	-337.441711
382	-309.204071	-339.804077	-337.441711
383	-302.348846	-244.548843	-337.441711
384	-294.312958	-340.112946	-339.804077
385	-285.127808	-323.727814	-339.804077
386	-274.829224	-316.429230	-323.727814
387	-263.457428	-245.657425	-316.429230
388	-251.056824	-237.256821	-316.429230
389	-237.675873	-246.275879	-246.275879
390	-223.366791	-226.166794	-245.657425
391	-208.185471	-254.785477	-245.657425
392	-192.191193	-249.391190	-246.275879
393	-175.446411	-173.246414	-246.275879
394	-158.016525	-151.016525	-226.166794
395	-139.969574	-203.169571	-203.169571
396	-121.376045	-105.776047	-173.246414
397	-102.308548	-83.508545	-151.016525
398	-82.841537	-74.241539	-105.776047
399	-63.051037	-91.251038	-91.251038
400	-43.014320	-106.014320	-91.251038
401	-22.809631	-61.409634	-83.508545
402	-2.515874	-61.115875	-74.241539
403	17.787708	75.787704	-61.409634
404	38.021832	61.421829	-61.115875
405	58.107475	109.907471	61.421829
406	77.966217	132.966217	75.787704
407	97.520500	100.120499	100.120499
408	116.693962	180.893967	109.907471
409	135.411743	147.811737	132.966217
410	153.600739	143.600739	143.600739
411	171.189941	166.589935	147.811737
412	188.110641	132.510635	147.811737
413	204.296768	171.296768	147.811737
414	219.685120	206.885117	166.589935
415	234.215607	259.215607	171.296768
416	247.831497	288.631500	206.885117
417	260.479614	220.679611	220.679611
418	272.110535	270.710541	259.215607
419	282.678894	253.078888	259.215607
420	292.143402	228.343399	253.078888
421	300.467072	267.267059	253.078888
422	307.617462	333.817474	267.267059
423	313.566589	323.966583	267.267059
424	318.291229	331.891235	323.966583
425	321.772980	372.172974	331.891235
426	323.998199	292.998199	331.891235
427	324.958191	300.158203	323.966583
428	324.649261	342.249268	331.891235
429	323.072571	264.472565	300.158203
430	320.234283	338.234283	300.158203
431	316.145508	255.145508	300.158203
432	310.822174	329.422180	329.422180
433	304.285095	313.685089	313.685089
434	296.559784	280.359772	313.685089
435	287.676422	245.476425	280.359772
436	277.669678	237.469681	280.359772
437	266.578644	229.578644	245.476425
438	254.446625	252.046631	245.476425
439	241.320984	252.120987	245.476425
440	227.253006	200.253006	237.469681
441	212.297607	186.897614	229.578644
442	196.513199	145.313202	200.253006
443	179.961395	230.361389	200.253006
444	162.706863	147.906860	186.897614
445	144.816956	173.816956	173.816956
446	126.361534	112.161537	147.906860
447	107.412682	48.812679	147.906860
448	88.044380	60.844379	112.161537
449	68.332268	41.532265	60.844379
450	48.353325	89.753326	60.844379
451	28.185560	-2.614441	48.812679
452	7.907731	-36.892269	41.532265
453	-12.400977	17.799023	17.799023
454	-32.661259	-85.461258	-2.614441
455	-52.794003	-45.594002	-36.892269
456	-72.720581	-62.520580	-45.594002
457	-92.363190	-57.963188	-57.963188
458	-111.645126	-94.645126	-62.520580
459	-130.491089	-166.891083	-62.520580
460	-148.827484	-167.227478	-94.645126
461	-166.582718	-145.182724	-145.182724
462	-183.687439	-162.687439	-162.687439
463	-200.074875	-163.074875	-163.074875
464	-215.681015	-195.281021	-163.074875
465	-230.444931	-229.644928	-163.074875
466	-244.308960	-236.308960	-195.281021
467	-257.218964	-315.218964	-229.644928
468	-269.124542	-284.724548	-236.308960
469	-279.979187	-252.979187	-252.979187
470	-289.740540	-337.340546	-284.724548
471	-298.370422	-286.970428	-286.970428
472	-305.835205	-358.435211	-286.970428
473	-312.105713	-296.905701	-296.905701
474	-317.157440	-286.957428	-296.905701
475	-320.970673	-309.970673	-296.905701
476	-323.530518	-290.530518	-296.905701
477	-324.826996	-296.027008	-296.027008
478	-324.855042	-385.455048	-296.027008
479	-323.614502	-311.214508	-309.970673
480	-321.110291	-371.510284	-311.214508
481	-317.352112	-311.952118	-311.952118
482	-312.354706	-371.754700	-371.510284
483	-306.137573	-370.937561	-370.937561
484	-298.724945	-311.324951	-370.937561
485	-290.145813	-301.945801	-311.952118
486	-280.433685	-282.033691	-311.324951
487	-269.626465	-313.826477	-311.324951
488	-257.766357	-229.366364	-301.945801
489	-244.899673	-196.299667	-282.033691
490	-231.076660	-289.676666	-282.033691
491	-216.351303	-228.551300	-229.366364
492	-200.781097	-168.381104	-228.551300
493	-184.426834	-145.826828	-196.299667
494	-167.352402	-169.752396	-169.752396
495	-149.624466	-190.624466	-169.752396
496	-131.312241	-80.712234	-168.381104
497	-112.487236	-92.087234	-145.826828
498	-93.222984	-134.022980	-134.022980
499	-73.594696	-18.794697	-92.087234
500	-53.679020	-94.879021	-92.087234
501	-33.553730	-92.153732	-92.153732
502	-13.297411	-48.697411	-92.153732
503	7.010832	-17.789169	-48.697411
504	27.291698	9.691698	-48.697411
505	47.465992	60.865993	-17.789169
506	67.454933	25.054932	9.691698
507	87.180458	66.580460	25.054932
508	106.565552	75.365555	60.865993
509	125.534508	109.334503	66.580460
510	144.013245	176.013245	75.365555
511	161.929626	146.729630	109.334503
